SOURCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RESPOSTAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HIT AND MISS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RESULT;;;
Source;Response;data_class_smell;large_class_smell;lazy_class_smell;open_close_principle_violation;speculative_generality_smell;alternative_classes_with_different_interfaces_smell;interface_segregation_principle_violation;middle_man_smell;long_method_smell;long_parameter_list_smell;switch_statements_smell;comments_smell;data_clumps_smell;dead_code_smell;divergent_change_smell;primitive_obsession_smell;temporary_fields_smell;single_responsability_principle_violation;parallel_inheritance_hierarchies_smell;refused_bequest_smell;dependency_inversion_principle_violation;liskov_substitution_principle_violation;duplicate_code_smell;feature_envy_smell;inappropriate_intimacy_smell;message_chains_smell;shotgun_surgery_smell;demeter_law_violation;tell_dont_ask_principle_violation;LLM;data_class_smell;large_class_smell;lazy_class_smell;open_close_principle_violation;speculative_generality_smell;alternative_classes_with_different_interfaces_smell;interface_segregation_principle_violation;middle_man_smell;long_method_smell;long_parameter_list_smell;switch_statements_smell;comments_smell;data_clumps_smell;dead_code_smell;divergent_change_smell;primitive_obsession_smell;temporary_fields_smell;single_responsability_principle_violation;parallel_inheritance_hierarchies_smell;refused_bequest_smell;dependency_inversion_principle_violation;liskov_substitution_principle_violation;duplicate_code_smell;feature_envy_smell;inappropriate_intimacy_smell;message_chains_smell;shotgun_surgery_smell;demeter_law_violation;tell_dont_ask_principle_violation;data_class_smell;large_class_smell;lazy_class_smell;open_close_principle_violation;speculative_generality_smell;alternative_classes_with_different_interfaces_smell;interface_segregation_principle_violation;middle_man_smell;long_method_smell;long_parameter_list_smell;switch_statements_smell;comments_smell;data_clumps_smell;dead_code_smell;divergent_change_smell;primitive_obsession_smell;temporary_fields_smell;single_responsability_principle_violation;parallel_inheritance_hierarchies_smell;refused_bequest_smell;dependency_inversion_principle_violation;liskov_substitution_principle_violation;duplicate_code_smell;feature_envy_smell;inappropriate_intimacy_smell;message_chains_smell;shotgun_surgery_smell;demeter_law_violation;tell_dont_ask_principle_violation;TP;TN;FP;FN
1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;claude 3.7 sonnet;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;FP;TN;TN;FP;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;0;24;5;0
1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;gemini 2.0 flash;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;0;27;2;0
1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;gpt-4.1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;0;28;1;0
1;485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deepseek v3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;0;28;1;0
2;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;claude 3.7 sonnet;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;TP;TN;FP;FP;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;FP;TN;FP;TN;TN;TN;TN;TN;TN;1;22;6;0
2;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;gemini 2.0 flash;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;1;27;1;0
2;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;gpt-4.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;1;28;0;0
2;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;FN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;0;27;1;1
3;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;claude 3.7 sonnet;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TP;TN;FP;TN;TN;FP;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;1;24;4;0
3;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;gemini 2.0 flash;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;1;26;2;0
